"","Mean","Std.Dev.","X2.5.","X97.5."
"WHITEHOUSE (D RI)",-1.51674120010960,0.148156736535740,-1.83420610032704,-1.25940604865969
"KIRK (D MA)",-1.44934561965108,0.522049219752916,-2.65787836870178,-0.708527862667103
"DURBIN (D IL)",-1.42234414569777,0.129044217497370,-1.69140291373950,-1.19068200505016
"GOODWIN (D WV)",-1.39340871568190,0.5950992822580,-2.93136960023001,-0.562943598420584
"HARKIN (D IA)",-1.38013011100978,0.1288136641742,-1.62779622713325,-1.14147116983602
"BURRIS (D IL)",-1.34440654414719,0.127855719798294,-1.60694542417299,-1.09844241523999
"REED (D RI)",-1.32908180376979,0.122445869398836,-1.59720838370185,-1.11048505410683
"BROWN (D OH)",-1.24852749316915,0.119497687473811,-1.49065590734092,-1.01976703406456
"CARDIN (D MD)",-1.19576801672765,0.108691109853493,-1.41681457569856,-0.988347593318097
"LEAHY (D VT)",-1.17719409834161,0.105248812658663,-1.37173390856430,-0.970568053025455
"GILLIBRAND (D NY)",-1.14178390147137,0.107044750425603,-1.35696766152211,-0.941472604398442
"LAUTENBERG (D NJ)",-1.13940914438658,0.110865321528143,-1.35072471276925,-0.929827561866135
"COONS (D DE)",-1.11705554301904,0.371373158420384,-1.93045306820979,-0.522038808055845
"MIKULSKI (D MD)",-1.10903278097502,0.110460442993765,-1.33050500546998,-0.899881725009183
"LEVIN (D MI)",-1.08841026578658,0.0990539116116835,-1.29242558281689,-0.892054186555134
"FRANKEN (D MN)",-1.08596843599594,0.125389007470893,-1.34133116423056,-0.8429903943024
"SANDERS (Indep VT)",-1.06901730950552,0.101315891685045,-1.26240854728518,-0.870939408843558
"SCHUMER (D NY)",-1.05986703505536,0.0995358920514454,-1.25736708557180,-0.866756138784012
"AKAKA (D HI)",-1.04731393328405,0.097754102698947,-1.25322253377572,-0.850969231414748
"INOUYE (D HI)",-1.04052781062020,0.100558278149878,-1.24908681502585,-0.857329459768729
"KERRY (D MA)",-1.04037935644263,0.0958871143819114,-1.22740773270019,-0.861657054840703
"DODD (D CT)",-0.925266340787475,0.0886106118278993,-1.10343821912075,-0.75946207193565
"KENNEDY (D MA)",-0.902747674493721,0.535168852890547,-2.14406868960883,-0.163953013483669
"KAUFMAN (D DE)",-0.896920763384802,0.0863544325928185,-1.06938971807209,-0.738509198151737
"UDALL (D NM)",-0.872815291227471,0.0844078493630134,-1.04586103021541,-0.720178664275203
"STABENOW (D MI)",-0.840633045667451,0.0812699930188039,-1.01896723834327,-0.685388993357503
"CLINTON (D NY)",-0.830321749706006,0.832924812121073,-2.62712777957341,0.505678157039499
"SALAZAR (D CO)",-0.803576875499667,0.73882616208283,-2.43894241024237,0.428921734722075
"MENENDEZ (D NJ)",-0.800270433974385,0.076080281589478,-0.959282846531653,-0.655994830513445
"MERKLEY (D OR)",-0.782709321412519,0.0743113438066408,-0.925092588172252,-0.646358808972896
"ROCKEFELLER (D WV)",-0.763750348932053,0.0761556768063763,-0.921870844796067,-0.627182095197636
"FEINSTEIN (D CA)",-0.74534672459893,0.0722556137726468,-0.896843430407385,-0.610413675145176
"SPECTER (D PA)",-0.737364693823294,0.078793491551906,-0.895361762326598,-0.596739688940264
"BOXER (D CA)",-0.736895473692812,0.0677047265440378,-0.875975908605711,-0.609032425797256
"MURRAY (D WA)",-0.723069490167899,0.0691817633447471,-0.86368499141298,-0.591942718550061
"JOHNSON (D SD)",-0.718156541547002,0.066436119054724,-0.857674997442645,-0.588458757475012
"WYDEN (D OR)",-0.701351499851536,0.0652305736445526,-0.833217026019009,-0.58056896812956
"BINGAMAN (D NM)",-0.678392328196086,0.0634850027774492,-0.808680330236796,-0.555807967886463
"CASEY (D PA)",-0.650275205740933,0.0609944841932865,-0.77433318192838,-0.536472245093152
"SHAHEEN (D NH)",-0.62204917902688,0.0589541791692916,-0.74111383771918,-0.511536507158145
"REID (D NV)",-0.541763315307164,0.0540824859479407,-0.649661483053315,-0.437361260310539
"KOHL (D WI)",-0.519353094658637,0.0509583726248244,-0.616466794979035,-0.416570627276095
"CARPER (D DE)",-0.514730041348052,0.0504504453503403,-0.618579667242539,-0.422948750414594
"DORGAN (D ND)",-0.480265053782314,0.0477840606867760,-0.574791118587119,-0.393002211829221
"CANTWELL (D WA)",-0.461794178924371,0.0481689755518258,-0.557968381399079,-0.369960027714838
"CONRAD (D ND)",-0.452572762409329,0.0455113535219639,-0.543464813626717,-0.365229439874139
"BAUCUS (D MT)",-0.436176131783004,0.0447248860016174,-0.52622887283471,-0.350992861316779
"BEGICH (D AK)",-0.435248998473228,0.0442610710117260,-0.522834592638577,-0.349682593510557
"UDALL (D CO)",-0.412412258628637,0.0429625605727494,-0.493069517776351,-0.328078673156596
"LANDRIEU (D LA)",-0.411279877309278,0.0422887547953849,-0.492218489806164,-0.332511790975000
"WARNER (D VA)",-0.391014554358692,0.0415740869632712,-0.477658171642126,-0.314122427782214
"NELSON (D FL)",-0.387980959399290,0.043044389953298,-0.470788626095419,-0.300641172185128
"TESTER (D MT)",-0.368189636116701,0.0413437889201961,-0.449939019050821,-0.287899380443645
"BENNET (D CO)",-0.353113836259753,0.0407667381626152,-0.433839303455002,-0.274435364537509
"HAGAN (D NC)",-0.345548156967719,0.0392721585333735,-0.422497645764351,-0.271804992372056
"KLOBUCHAR (D MN)",-0.336338225122496,0.0386943750295994,-0.414067178141776,-0.262994278993148
"LIEBERMAN (D CT)",-0.316024756831095,0.0379351114901421,-0.391125937667524,-0.24620418762493
"BYRD (D WV)",-0.306678043066338,0.0517097284152998,-0.410159722033622,-0.208001676852687
"PRYOR (D AR)",-0.284592759549623,0.0365842668123777,-0.356624711819584,-0.214300771625885
"WEBB (D VA)",-0.180045021009789,0.0340346072647403,-0.247344498202381,-0.113270412120750
"MCCASKILL (D MO)",-0.162821984836394,0.0330346966457654,-0.225507198200958,-0.0962572935818374
"FEINGOLD (D WI)",-0.146506102481054,0.0327452459320776,-0.209861084905077,-0.0818322284978352
"MANCHIN (D WV)",-0.120352382399488,0.111800678940516,-0.344854706327281,0.0778952043016152
"LINCOLN (D AR)",-0.0893867491240828,0.0304593493092698,-0.149794922587986,-0.0302240850005956
"BAYH (D IN)",0.0172241766635263,0.0294668930716196,-0.0394456373878383,0.0766843484295561
"NELSON (D NE)",0.139997465149772,0.0273364452939988,0.0849707815817624,0.190886162802035
"COLLINS (R ME)",0.365208464453591,0.0246829086609371,0.31953017160524,0.411463605660602
"SNOWE (R ME)",0.383644592566531,0.0251678455542255,0.33189738911066,0.430785880458523
"SPECTER (R PA)",0.384687884705692,0.0399388218715504,0.305080658567961,0.465088970569167
"VOINOVICH (R OH)",0.440673481435984,0.0268155414482448,0.387499509139185,0.492648015248434
"BROWN (R MA)",0.577622513352871,0.0385741880454983,0.502491235080946,0.659843200968325
"MURKOWSKI (R AK)",0.641067900992396,0.0282437908678116,0.588214547940334,0.698047942214034
"LUGAR (R IN)",0.674898691079764,0.0287634822570374,0.62017309154163,0.730883394642806
"BOND (R MO)",0.711567128797711,0.0331597575624086,0.645752430647836,0.773823271980541
"MARTINEZ (R FL)",0.747701444749492,0.0471940018298377,0.65633091114175,0.837184999961154
"ALEXANDER (R TN)",0.77842822851577,0.0324832329557145,0.717259629468749,0.842371364900706
"COCHRAN (R MS)",0.789104994777506,0.0322465436728343,0.724510371618084,0.854557614163832
"KIRK (R IL)",0.794168111822613,0.0902612035232463,0.620661781619163,0.97771170963865
"GREGG (R NH)",0.814059055871472,0.0361710969221756,0.745130113107167,0.883925517286007
"BENNETT (R UT)",0.863567191757,0.0369084629498598,0.791075475591126,0.935722755849053
"LEMIEUX (R FL)",0.929515624672028,0.0494058317205568,0.82732752481871,1.02602123109395
